title,openreview_link,authors
Cameras as Rays: Sparse-view Pose Estimation via Ray Diffusion,https://iclr.cc/virtual/2024/poster/19101,"Jason Zhang, Amy Lin, MONEISH KUMAR, Tzu-Hsuan Yang, Deva Ramanan, Shubham Tulsiani"
Understanding Hidden Context in Preference Learning: Consequences for RLHF,https://iclr.cc/virtual/2024/poster/19603,"Anand Siththaranjan, Cassidy Laidlaw, Dylan Hadfield-Menell"
Learning Hierarchical Image Segmentation For Recognition and By Recognition,https://iclr.cc/virtual/2024/poster/18964,"Tsung-Wei Ke, Sangwoo Mo, Stella Yu"
A Benchmark on Robust Semi-Supervised Learning in Open Environments,https://iclr.cc/virtual/2024/poster/18627,"Lin-Han Jia, Lan-Zhe Guo, Zhi Zhou, Yu-Feng Li"
DREAM: Dual Structured Exploration with Mixup for Open-set Graph Domain Adaption,https://iclr.cc/virtual/2024/poster/19448,"Nan Yin, Mengzhu Wang, Zhenghan Chen, Li Shen, Huan Xiong, Bin Gu, Xiao Luo"
Enhancing One-Shot Federated Learning Through Data and Ensemble Co-Boosting,https://iclr.cc/virtual/2024/poster/17605,"Rong Dai, Yonggang Zhang, Ang Li, Tongliang Liu, Xun Yang, Bo Han"
DrM: Mastering Visual Reinforcement Learning through Dormant Ratio Minimization,https://iclr.cc/virtual/2024/poster/18821,"Guowei Xu, Ruijie Zheng, Yongyuan Liang, Xiyao Wang, Zhecheng Yuan, Tianying Ji, Yu Luo, Xiaoyu Liu, Jiaxin Yuan, Pu Hua, Shuzhen Li, Yanjie Ze, Hal Daumé III, Furong Huang, Huazhe Xu"
Towards Robust Fidelity for Evaluating Explainability of Graph Neural Networks,https://iclr.cc/virtual/2024/poster/17563,"Xu Zheng, Farhad Shirani, Tianchun Wang, Wei Cheng, Zhuomin Chen, Haifeng Chen, Hua Wei, Dongsheng Luo"
Out-of-Distribution Detection with Negative Prompts,https://iclr.cc/virtual/2024/poster/17852,"Jun Nie, Yonggang Zhang, Zhen Fang, Tongliang Liu, Bo Han, Xinmei Tian"
Enhancing Transferable Adversarial Attacks on Vision Transformers through Gradient Normalization Scaling and High-Frequency Adaptation,https://iclr.cc/virtual/2024/poster/19597,"Zhiyu Zhu, Xinyi Wang, Zhibo Jin, Jiayu Zhang, Huaming Chen"
CAMBranch: Contrastive Learning with Augmented MILPs for Branching,https://iclr.cc/virtual/2024/poster/18917,"Jiacheng Lin, Meng XU, Zhihua Xiong, Huangang Wang"
AttEXplore: Attribution for Explanation with model parameters eXploration,https://iclr.cc/virtual/2024/poster/19046,"Zhiyu Zhu, Huaming Chen, Jiayu Zhang, Xinyi Wang, Zhibo Jin, Jason Xue, Flora Salim"
Continuous Invariance Learning,https://iclr.cc/virtual/2024/poster/19376,"LIN Yong, Fan Zhou, Lu Tan, Lintao Ma, Jianmeng Liu, Yansu HE, Yuan Yuan, Yu Liu, james zhang, Yujiu Yang, Hao Wang"
A Multi-Level Framework for Accelerating Training Transformer Models,https://iclr.cc/virtual/2024/poster/19223,"Longwei Zou, Han Zhang, Yangdong Deng"
PROGRAM: PROtotype GRAph Model based Pseudo-Label Learning for Test-Time Adaptation,https://iclr.cc/virtual/2024/poster/17470,"Haopeng Sun, Lumin Xu, Sheng Jin, Ping Luo, Chen Qian, Wentao Liu"
CLIPSelf: Vision Transformer Distills Itself for Open-Vocabulary Dense Prediction,https://iclr.cc/virtual/2024/poster/19128,"Size Wu, Wenwei Zhang, Lumin Xu, Sheng Jin, Xiangtai Li, Wentao Liu, Chen Change Loy"
LLMs Meet VLMs: Boost Open Vocabulary Object Detection with Fine-grained Descriptors,https://iclr.cc/virtual/2024/poster/17561,"Sheng JIn, Xueying Jiang, Jiaxing Huang, Lewei Lu, Shijian Lu"
Multi-scale Transformers with Adaptive Pathways for Time Series Forecasting,https://iclr.cc/virtual/2024/poster/17938,"Peng Chen, Yingying ZHANG, Yunyao Cheng, Yang Shu, Yihang Wang, Qingsong Wen, Bin Yang, Chenjuan Guo"
Rethinking the Uniformity Metric in Self-Supervised Learning,https://iclr.cc/virtual/2024/poster/19494,"Xianghong Fang, Jian Li, Qiang Sun, Wang Benyou"
SALMONN: Towards Generic Hearing Abilities for Large Language Models,https://iclr.cc/virtual/2024/poster/19600,"Changli Tang, Wenyi Yu, Guangzhi Sun, Xianzhao Chen, Tian Tan, Wei Li, Lu Lu, Zejun MA, Chao Zhang"
Identifying Policy Gradient Subspaces,https://iclr.cc/virtual/2024/poster/18066,"Jan Schneider, Pierre Schumacher, Simon Guist, Le Chen, Daniel Haeufle, Bernhard Schoelkopf, Dieter Büchler"
Neural Probabilistic Protein-Protein Docking via a Differentiable Energy Model,https://iclr.cc/virtual/2024/poster/17724,"Huaijin Wu, Wei Liu, Yatao Bian, Jiaxiang Wu, Nianzu Yang, Junchi Yan"
Enhancing Neural Subset Selection: Integrating Background Information into Set Representations,https://iclr.cc/virtual/2024/poster/18216,"Binghui Xie, Yatao Bian, Kaiwen Zhou, Yongqiang Chen, Peilin Zhao, Bo Han, Wei Meng, James Cheng"
Feature-aligned N-BEATS with Sinkhorn divergence,https://iclr.cc/virtual/2024/poster/18573,"Joonhun Lee, Myeongho Jeon, Myungjoo Kang, Kyunghyun Park"
Dynamic Sparse No Training:  Training-Free Fine-tuning for Sparse LLMs,https://iclr.cc/virtual/2024/poster/19572,"Yuxin Zhang, Lirui Zhao, Mingbao Lin, Sun Yunyun, Yiwu Yao, Xingjia Han, Jared Tanner, Shiwei Liu, Rongrong Ji"
$\pi$2vec: Policy Representation with Successor Features,https://iclr.cc/virtual/2024/poster/17835,"Gianluca Scarpellini, Ksenia Konyushkova, Claudio Fantacci, Thomas Paine, Yutian Chen, Misha Denil"
Test-time Adaption against Multi-modal Reliability Bias,https://iclr.cc/virtual/2024/poster/18574,"Mouxing Yang, Yunfan Li, Changqing Zhang, Peng Hu, Xi Peng"
Active Retrosynthetic Planning Aware of Route Quality,https://iclr.cc/virtual/2024/poster/18113,"Luotian Yuan, Yemin Yu, Ying Wei, Yongwei Wang, Zhihua Wang, Fei Wu"
Online Information Acquisition: Hiring Multiple Agents,https://iclr.cc/virtual/2024/poster/17818,"Federico Cacciamani, Matteo Castiglioni, Nicola Gatti"
MuSc: Zero-Shot Industrial Anomaly Classification and Segmentation with Mutual Scoring of the Unlabeled Images,https://iclr.cc/virtual/2024/poster/19269,"Xurui Li, Ziming Huang, Feng Xue, Yu Zhou"
Zeroth-Order Optimization Meets Human Feedback: Provable Learning via Ranking Oracles,https://iclr.cc/virtual/2024/poster/18570,"Zhiwei Tang, Dmitry Rybin, Tsung-Hui Chang"
Beyond Vanilla Variational Autoencoders: Detecting Posterior Collapse in Conditional and Hierarchical Variational Autoencoders,https://iclr.cc/virtual/2024/poster/19443,"Hien Dang, Tho-Huu Tran, Tan Nguyen, Nhat Ho"
Attention-Guided Contrastive Role Representations for Multi-agent Reinforcement Learning,https://iclr.cc/virtual/2024/poster/18863,"Zican Hu, Zongzhang Zhang, Huaxiong Li, Chunlin Chen, Hongyu Ding, Zhi Wang"
FLASK: Fine-grained Language Model Evaluation based on Alignment Skill Sets,https://iclr.cc/virtual/2024/poster/19170,"Seonghyeon Ye, Doyoung Kim, Sungdong Kim, Hyeonbin Hwang, Seungone Kim, Yongrae Jo, James Thorne, Juho Kim, Minjoon Seo"
Lagrangian Flow Networks for Conservation Laws,https://iclr.cc/virtual/2024/poster/18767,"Fabricio Arend Torres, Marcello Negri, Marco Inversi, Jonathan Aellen, Volker Roth"
The Expressive Leaky Memory Neuron: an Efficient and Expressive Phenomenological Neuron Model Can Solve Long-Horizon Tasks.,https://iclr.cc/virtual/2024/poster/17545,"Aaron Spieler, Nasim Rahaman, Georg Martius, Bernhard Schoelkopf, Anna Levina"
TASK PLANNING FOR VISUAL ROOM REARRANGEMENT UNDER PARTIAL OBSERVABILITY,https://iclr.cc/virtual/2024/poster/18030,"DIPANJAN DAS, Karan Mirakhor, Sourav Ghosh, Brojeshwar Bhowmick"
TRAM: Bridging Trust Regions and Sharpness Aware Minimization,https://iclr.cc/virtual/2024/poster/17953,"Tom Sherborne, Naomi Saphra, Pradeep Dasigi, Hao Peng"
Efficient Integrators for Diffusion Generative Models,https://iclr.cc/virtual/2024/poster/17748,"Kushagra Pandey, Maja Rudolph, Stephan Mandt"
SEINE: Short-to-Long Video Diffusion Model for Generative Transition and Prediction,https://iclr.cc/virtual/2024/poster/19067,"Xinyuan Chen, Yaohui Wang, Lingjun Zhang, Shaobin Zhuang, Xin Ma, Jiashuo Yu, Yali Wang, Dahua Lin, Yu Qiao, Ziwei Liu"
InternVid: A Large-scale Video-Text Dataset for Multimodal Understanding and Generation,https://iclr.cc/virtual/2024/poster/18829,"Yi Wang, Yinan He, Yizhuo Li, Kunchang Li, Jiashuo Yu, Xin Ma, Xinhao Li, Guo Chen, Xinyuan Chen, Yaohui Wang, Ping Luo, Ziwei Liu, Yali Wang, Limin Wang, Yu Qiao"
Online Stabilization of Spiking Neural Networks,https://iclr.cc/virtual/2024/poster/19180,"Yaoyu Zhu, Jianhao Ding, Tiejun Huang, Xiaodong Xie, Zhaofei Yu"
Model Merging by Uncertainty-Based Gradient Matching,https://iclr.cc/virtual/2024/poster/19152,"Nico Daheim, Thomas Möllenhoff, Edoardo M. Ponti, Iryna Gurevych, Mohammad Emtiyaz Khan"
Beam Enumeration: Probabilistic Explainability For Sample Efficient Self-conditioned Molecular Design,https://iclr.cc/virtual/2024/poster/19358,"Jeff Guo, Philippe Schwaller"
Gradual Optimization Learning for Conformational Energy Minimization,https://iclr.cc/virtual/2024/poster/19068,"Artem Tsypin, Leonid A. Ugadiarov, Kuzma Khrabrov, Alexander Telepov, Egor Rumiantsev, Alexey Skrynnik, Aleksandr Panov, Dmitry P. Vetrov, Elena Tutubalina, Artur Kadurin"
Matrix Manifold Neural Networks++,https://iclr.cc/virtual/2024/poster/19532,"Xuan Son Nguyen, Yang, Aymeric Histace"
Balancing Act: Sparse Models with Constrained Disparate Impact,https://iclr.cc/virtual/2024/poster/18437,"Meraj Hashemizadeh, Juan Ramirez, Rohan Sukumaran, Golnoosh Farnadi, Simon Lacoste-Julien, Jose Gallego-Posada"
Robust Training of Federated Models with Extremely Label Deficiency,https://iclr.cc/virtual/2024/poster/17708,"Yonggang Zhang, Zhiqin Yang, Xinmei Tian, Nannan Wang, Tongliang Liu, Bo Han"
Posterior Sampling Based on Gradient Flows of the MMD with Negative Distance Kernel,https://iclr.cc/virtual/2024/poster/18412,"Paul Hagemann, Johannes Hertrich, Fabian Altekrüger, Robert Beinert, Jannis Chemseddine, Gabriele Steidl"
LOQA: Learning with Opponent Q-Learning Awareness,https://iclr.cc/virtual/2024/poster/19078,"Milad Aghajohari, Juan Duque, Timotheus Cooijmans, Aaron Courville"
Towards Foundational Models for Molecular Learning on Large-Scale Multi-Task Datasets,https://iclr.cc/virtual/2024/poster/18388,"Dominique Beaini, Shenyang(Andy) Huang, Joao Cunha, Zhiyi Li, Gabriela Moisescu-Pareja, Oleksandr Dymov, Samuel Maddrell-Mander, Callum McLean, Frederik Wenkel, Luis Müller, Jama Hussein Mohamud, Ali Parviz, Michael Craig, Michał Koziarski, Jiarui Lu, Zhaocheng Zhu, Cristian Gabellini, Kerstin Klaser, Josef Dean, Cas Wognum, Maciej Sypetkowski, Guillaume Rabusseau, Reihaneh Rabbany, Jian Tang, Christopher Morris, Mirco Ravanellu, Guy Wolf, Prudencio Tossou, Hadrien Mary, Therence Bois, Andrew Fitzgibbon, Blazej Banaszewski, Chad Martin, Dominic Masters"
Graphpulse: Topological representations for temporal graph property prediction,https://iclr.cc/virtual/2024/poster/19138,"Kiarash Shamsi, Farimah Poursafaei, Shenyang(Andy) Huang, Tran Gia Bao Ngo, Baris Coskunuzer, Cuneyt Akcora"
Efficient Instance-Optimal Finite-Sum Minimization,https://iclr.cc/virtual/2024/poster/18644,"Ioannis Mavrothalassitis, Stratis Skoulakis, Leello Dadi, Volkan Cevher"
LLCP: Learning Latent Causal Processes for Reasoning-based Video Question Answer,https://iclr.cc/virtual/2024/poster/19158,"Guangyi Chen, Yuke Li, Xiao Liu, Zijian Li, Eman Al Suradi, Donglai Wei, Kun Zhang"
Subtractive Mixture Models via Squaring: Representation and Learning,https://iclr.cc/virtual/2024/poster/17457,"Lorenzo Loconte, Aleksanteri Sladek, Stefan Mengel, Martin Trapp, Arno Solin, Nicolas Gillis, Antonio Vergari"
Achieving Sample and Computational Efficient Reinforcement Learning by Action Space Reduction via Grouping,https://iclr.cc/virtual/2024/poster/18823,"Yining Li, Peizhong Ju, Ness Shroff"
RA-DIT: Retrieval-Augmented Dual Instruction Tuning,https://iclr.cc/virtual/2024/poster/19562,"Xi Lin, Xilun Chen, Mingda Chen, Weijia Shi, Maria Lomeli, Richard James, Pedro Rodriguez, Jacob D Kahn, Gergely Szilvasy, Mike Lewis, Luke Zettlemoyer, Scott Yih"
In-Context Pretraining: Language Modeling Beyond Document Boundaries,https://iclr.cc/virtual/2024/poster/18861,"Weijia Shi, Sewon Min, Maria Lomeli, Chunting Zhou, Margaret Li, Xi Lin, Noah Smith, Luke Zettlemoyer, Scott Yih, Mike Lewis"
From Posterior Sampling to Meaningful Diversity in Image Restoration,https://iclr.cc/virtual/2024/poster/18179,"Noa Cohen, Hila Manor, Yuval Bahat, Tomer Michaeli"
GnnX-Bench: Unravelling the Utility of Perturbation-based GNN Explainers through In-depth Benchmarking,https://iclr.cc/virtual/2024/poster/18507,"Mert Kosan, Samidha Verma, Burouj Armgaan, Khushbu Pahwa, Ambuj K Singh, Sourav Medya, Sayan Ranu"
