title,openreview_link,authors
DREAM: Dual Structured Exploration with Mixup for Open-set Graph Domain Adaption,https://iclr.cc/virtual/2024/poster/19448,"Nan Yin, Mengzhu Wang, Zhenghan Chen, Li Shen, Huan Xiong, Bin Gu, Xiao Luo"
Towards Robust Fidelity for Evaluating Explainability of Graph Neural Networks,https://iclr.cc/virtual/2024/poster/17563,"Xu Zheng, Farhad Shirani, Tianchun Wang, Wei Cheng, Zhuomin Chen, Haifeng Chen, Hua Wei, Dongsheng Luo"
PROGRAM: PROtotype GRAph Model based Pseudo-Label Learning for Test-Time Adaptation,https://iclr.cc/virtual/2024/poster/17470,"Haopeng Sun, Lumin Xu, Sheng Jin, Ping Luo, Chen Qian, Wentao Liu"
Graphpulse: Topological representations for temporal graph property prediction,https://iclr.cc/virtual/2024/poster/19138,"Kiarash Shamsi, Farimah Poursafaei, Shenyang(Andy) Huang, Tran Gia Bao Ngo, Baris Coskunuzer, Cuneyt Akcora"
GnnX-Bench: Unravelling the Utility of Perturbation-based GNN Explainers through In-depth Benchmarking,https://iclr.cc/virtual/2024/poster/18507,"Mert Kosan, Samidha Verma, Burouj Armgaan, Khushbu Pahwa, Ambuj K Singh, Sourav Medya, Sayan Ranu"
GraphCare: Enhancing Healthcare Predictions with Personalized Knowledge Graphs,https://iclr.cc/virtual/2024/poster/17612,"Pengcheng Jiang, Cao Xiao, Adam Cross, Jimeng Sun"
Improving Generalization in Equivariant Graph Neural Networks with Physical Inductive Biases,https://iclr.cc/virtual/2024/poster/19496,"Yang Liu, Jiashun Cheng, Haihong Zhao, Tingyang Xu, Peilin Zhao, Fugee Tsung, Jia Li, Yu Rong"
BioBridge: Bridging Biomedical Foundation Models via Knowledge Graphs,https://iclr.cc/virtual/2024/poster/18031,"Zifeng Wang, Zichen Wang, Balasubramaniam Srinivasan, Vassilis N. Ioannidis, Huzefa Rangwala, RISHITA ANUBHAI"
Scalable and Effective Implicit Graph Neural Networks on Large Graphs,https://iclr.cc/virtual/2024/poster/18674,"Juncheng Liu, Bryan Hooi, Kenji Kawaguchi, Yiwei Wang, Chaosheng Dong, Xiaokui Xiao"
A Differentially Private Clustering Algorithm for Well-Clustered Graphs,https://iclr.cc/virtual/2024/poster/18087,"Weiqiang He, Hendrik Fichtenberger, Pan Peng"
Beyond Spatio-Temporal Representations: Evolving Fourier Transform for Temporal Graphs,https://iclr.cc/virtual/2024/poster/17560,"Anson Bastos, Kuldeep Singh, Abhishek Nadgeri, Manish Singh, Toyotaro Suzumura"
Contrastive Learning is Spectral Clustering on Similarity Graph,https://iclr.cc/virtual/2024/poster/18101,"Yifan Zhang, Zhiquan Tan, Jingqin Yang, Yang Yuan"
Talk like a Graph: Encoding Graphs for Large Language Models,https://iclr.cc/virtual/2024/poster/18954,"Bahare Fatemi, Jonathan Halcrow, Bryan Perozzi"
Uncertainty-aware Graph-based Hyperspectral Image Classification,https://iclr.cc/virtual/2024/poster/19322,"Linlin Yu, Yifei Lou, Feng Chen"
Decoupling Weighing and Selecting for Integrating Multiple Graph Pre-training Tasks,https://iclr.cc/virtual/2024/poster/18307,"Tianyu Fan, Lirong Wu, Yufei Huang, Haitao Lin, Cheng Tan, Zhangyang Gao, Stan Z Li"
On the Stability of Expressive Positional Encodings for Graph Neural Networks,https://iclr.cc/virtual/2024/poster/17465,"Yinan Huang, William Lu, Joshua Robinson, Yu Yang, Muhan Zhang, Stefanie Jegelka, Pan Li"
$\mathbb{D}^2$ Pruning: Message Passing for Balancing Diversity & Difficulty in Data Pruning,https://iclr.cc/virtual/2024/poster/17608,"Adyasha Maharana, Prateek Yadav, Mohit Bansal"
NeuroBack: Improving CDCL SAT Solving using Graph Neural Networks,https://iclr.cc/virtual/2024/poster/17641,"Wenxi Wang, Yang Hu, Mohit Tiwari, Sarfraz Khurshid, Kenneth McMillan, Risto Miikkulainen"
From Graphs to Hypergraphs: Hypergraph Projection and its Remediation,https://iclr.cc/virtual/2024/poster/17710,"Yanbang Wang, Jon Kleinberg"
Counting Graph Substructures with Graph Neural Networks,https://iclr.cc/virtual/2024/poster/17728,"Charilaos Kanatsoulis, Alejandro Ribeiro"
Adversarial Attacks on Fairness of Graph Neural Networks,https://iclr.cc/virtual/2024/poster/17753,"Binchi Zhang, Yushun Dong, Chen Chen, Yada Zhu, Minnan Luo, Jundong Li"
Graph Transformers on EHRs: Better Representation Improves Downstream Performance,https://iclr.cc/virtual/2024/poster/17772,"Raphael Poulain, Rahmatollah Beheshti"
Causal Modelling Agents: Causal Graph Discovery through Synergising Metadata- and Data-driven Reasoning,https://iclr.cc/virtual/2024/poster/17791,"Ahmed Abdulaal, Adamos Hadjivasiliou, Nina Montaña-Brown, Tiantian He, Ayodeji Ijishakin, Ivana Drobnjak, Daniel Castro, Daniel Alexander"
